         153561 function calls (150920 primitive calls) in 0.214 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       11    0.052    0.005    0.052    0.005 {built-in method _imp.create_dynamic}
      115    0.020    0.000    0.020    0.000 {method 'read' of '_io.BufferedReader' objects}
    11/10    0.015    0.001    0.019    0.002 {built-in method _imp.exec_dynamic}
        1    0.010    0.010    0.010    0.010 _linalg.py:2417(lstsq)
      115    0.009    0.000    0.009    0.000 {built-in method _io.open_code}
      115    0.009    0.000    0.009    0.000 {built-in method marshal.loads}
      573    0.008    0.000    0.008    0.000 {built-in method posix.stat}
      373    0.004    0.000    0.008    0.000 inspect.py:789(cleandoc)
  305/302    0.004    0.000    0.010    0.000 {built-in method builtins.__build_class__}
        1    0.003    0.003    0.003    0.003 __init__.py:873(blas_fpe_check)
        1    0.003    0.003    0.003    0.003 _linalg.py:536(inv)
    122/1    0.003    0.000    0.214    0.214 {built-in method builtins.exec}
        1    0.002    0.002    0.015    0.015 _polynomial_impl.py:458(polyfit)
      521    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:429(_get_module_lock)
      269    0.002    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1357(find_spec)
    15204    0.002    0.000    0.002    0.000 {built-in method builtins.isinstance}
       49    0.002    0.000    0.002    0.000 {built-in method posix.getcwd}
20002/19855    0.001    0.000    0.001    0.000 {built-in method builtins.len}
      144    0.001    0.000    0.003    0.000 typing.py:260(_collect_type_parameters)
8375/8371    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      521    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:304(acquire)
     5224    0.001    0.000    0.001    0.000 typing.py:1717(<genexpr>)
       13    0.001    0.000    0.440    0.034 __init__.py:1(<module>)
        1    0.001    0.001    0.002    0.002 _scimath_impl.py:1(<module>)
     1429    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
      277    0.001    0.000    0.002    0.000 typing.py:184(_type_check)
1078/1064    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x1031d8908}
       13    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
     9114    0.001    0.000    0.001    0.000 {method 'lstrip' of 'str' objects}
      135    0.001    0.000    0.006    0.000 typing.py:1341(__init__)
     1831    0.001    0.000    0.001    0.000 typing.py:1026(_is_unpacked_typevartuple)
      521    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
       50    0.001    0.000    0.006    0.000 typing.py:749(Literal)
      458    0.001    0.000    0.001    0.000 <string>:1(<lambda>)
     1201    0.001    0.000    0.001    0.000 typing.py:1286(__setattr__)
    74/23    0.001    0.000    0.002    0.000 _parser.py:512(_parse)
       13    0.001    0.000    0.002    0.000 __init__.py:361(namedtuple)
       90    0.001    0.000    0.002    0.000 typing.py:1727(__hash__)
      115    0.001    0.000    0.041    0.000 <frozen importlib._bootstrap_external>:826(get_code)
     2246    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
        1    0.001    0.001    0.001    0.001 {method 'dot' of 'numpy.ndarray' objects}
      521    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
      458    0.001    0.000    0.001    0.000 _inspect.py:66(getargs)
      229    0.001    0.000    0.003    0.000 overrides.py:86(verify_matching_signatures)
        1    0.001    0.001    0.006    0.006 _array_like.py:1(<module>)
      289    0.001    0.000    0.001    0.000 functools.py:35(update_wrapper)
       11    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
      145    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap>:1243(_find_spec)
        1    0.001    0.001    0.004    0.004 _dtype_like.py:1(<module>)
     7106    0.001    0.000    0.001    0.000 {built-in method builtins.min}
